"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2020-03-08","LAFC","3","2.3982","2.4833","PHI","3","1.0702","1.1347","0","1.328","1.3486","0","2.218","0.583"
"2020-03-08","POR","1","0.2494","0.2494","NSH","0","1.0453","1.0453","1","-0.7959","-0.7959","1","0.567","2.103"
"2020-03-07","TOR","1","2.6694","2.7394","NYC","0","1.1185","1.1185","1","1.5509","1.6209","1","2.457","0.39"
"2020-03-07","NER","1","2.267","2.2837","CHI","1","0.9768","0.9775","0","1.2902","1.3063","0","2.241","0.573"
"2020-03-07","RSL","1","3.1051","3.5211","NYRB","1","0.2345","0.2345","0","2.8706","3.2866","0","2.852","0.095"
"2020-03-07","FCD","2","2.9879","3.1209","MTL","2","1.2522","1.4392","0","1.7357","1.6816","0","2.353","0.496"
"2020-03-07","DCU","2","1.147","1.1506","MIA","1","1.8262","1.8891","1","-0.6791","-0.7385","1","0.87","1.863"
"2020-03-07","ATL","2","1.5784","1.5784","CIN","1","0.7718","0.7718","1","0.8066","0.8066","1","2.125","0.631"
"2020-03-07","SKC","4","2.3787","2.3862","HOU","0","0.6589","0.6589","4","1.7198","1.7273","4","2.519","0.329"
"2020-03-07","COL","2","0.9708","0.9738","ORL","1","0.7762","0.7807","1","0.1946","0.1932","1","1.523","1.157"
"2020-03-07","SEA","1","1.8667","1.8667","CLB","1","1.0258","1.0258","0","0.8409","0.8409","0","2.062","0.691"
"2020-03-07","SJE","2","2.3745","2.3775","MIN","5","2.6129","2.6828","-3","-0.2384","-0.3053","-3","1.193","1.592"
"2020-03-07","LAG","0","0.7123","0.7123","VAN","1","1.5868","1.5881","-1","-0.8745","-0.8758","-1","0.656","2.105"
"2020-03-01","SEA","2","3.0357","3.1053","CHI","1","0.6612","0.6612","1","2.3744","2.4441","1","2.77","0.16"
"2020-03-01","POR","1","2.1246","2.1246","MIN","3","1.9918","1.9918","-2","0.1328","0.1328","-2","1.492","1.258"
"2020-03-01","CLB","1","1.5594","1.5594","NYC","0","0.3027","0.3027","1","1.2567","1.2567","1","2.349","0.426"
"2020-03-01","NYRB","3","2.2744","2.2744","CIN","2","1.9131","2.007","1","0.3612","0.2674","1","1.649","1.121"
"2020-03-01","LAFC","1","2.2045","2.2431","MIA","0","1.958","1.9669","1","0.2466","0.2762","1","1.501","1.279"
"2020-02-29","FCD","2","0.7844","0.7844","PHI","0","0.8541","0.8567","2","-0.0697","-0.0723","2","1.277","1.367"
"2020-02-29","DCU","1","1.3257","1.3264","COL","2","1.5594","1.5843","-1","-0.2337","-0.2579","-1","1.231","1.516"
"2020-02-29","MTL","2","1.4579","1.4647","NER","1","1.2408","1.2598","1","0.2171","0.2049","1","1.47","1.263"
"2020-02-29","HOU","1","0.8934","0.8938","LAG","1","1.3836","1.4257","0","-0.4902","-0.5318","0","1.058","1.664"
"2020-02-29","SJE","2","0.5796","0.5861","TOR","2","1.6871","1.7426","0","-1.1075","-1.1564","0","0.468","2.316"
"2020-02-29","ORL","0","0.861","0.861","RSL","0","0.1718","0.1718","0","0.6892","0.6892","0","1.985","0.599"
"2020-02-29","NSH","1","0.8695","0.8695","ATL","2","0.379","0.379","-1","0.4905","0.4905","-1","1.787","0.824"
