"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Sebastian Giovinco","TOR","3.0147","1.0203","-0.1127","2.2389","-1.5323","0.6244","5.2533"
"Kei Kamara","CLB","-0.4233","-0.2015","0.1481","-0.4511","4.6934","0.8681","4.6337"
"David Accam","CHI","3.7794","0.8468","-0.1488","-0.733","0.3301","0.3745","4.449"
"Dax McCarty","NYRB","0.9324","0.069","1.1775","1.7293","0.231","0.0723","4.2115"
"Fabian Castillo","FCD","3.6133","0.3936","-0.2469","-0.4716","0.4106","0.3287","4.0277"
"Obafemi Martins","SEA","1.3169","0.0091","0.1628","-0.0184","1.3855","0.802","3.6579"
"Dom Dwyer","SKC","0.0271","0.7754","-0.0459","-0.1178","2.2443","0.6788","3.5619"
"Omar González","LAG","0.1317","0.4234","2.114","0.7494","0.038","-0.1189","3.3376"
"Bradley Wright-Phillips","NYRB","-1.4264","-0.3752","0.2025","-0.8421","3.4572","1.8566","2.8726"
"Sean Franklin","DCU","0.0721","0.2613","1.9194","0.4418","-0.0898","0.1169","2.7217"
"Lloyd Sam","NYRB","1.0489","0.3781","0.2523","0.0175","0.6898","0.2735","2.6601"
"Alvas Powell","POR","1.1817","0.2389","1.1796","0.0881","-0.0212","-0.1383","2.5288"
"Javier Morales","RSL","0.5577","0.1471","0.1626","1.3076","0.0866","0.2134","2.475"
"Chris Tierney","NER","0.098","0.0669","0.3566","1.8623","-0.0023","-0.0222","2.3593"
"Kendall Waston","VAN","0.0928","0.2461","0.582","-0.147","1.0755","0.3355","2.1849"
"David Villa","NYC","1.9749","0.151","-0.0168","0.7752","-0.6436","-0.0839","2.1568"
"Felipe","NYRB","0.6232","0.3449","-0.3436","0.8577","-0.0263","0.6849","2.1408"
"Fanendo Adi","POR","-0.371","0.0519","-0.2545","-1.8529","3.6598","0.9042","2.1375"
"Matt Besler","SKC","0.095","0.2059","0.3674","1.9674","-0.5137","-0.0208","2.1012"
"Cyle Larin","ORL","-1.1822","0.0521","-0.119","-0.6877","3.1646","0.7773","2.0051"
"Kekuta Manneh","VAN","1.9214","-0.0572","0.0862","-0.1795","0.0234","0.1614","1.9557"
"Bobby Boswell","DCU","0.1112","0.5374","0.5313","0.3051","0.2509","0.1439","1.8798"
"Michael Parkhurst","CLB","0.2258","0.0522","1.0703","0.8172","-0.1719","-0.138","1.8556"
"Didier Drogba","MTL","1.4054","-0.007","0.274","0.0168","0.1027","0.0378","1.8297"
"Kwadwo Poku","NYC","1.634","-0.1719","0.1183","0.0212","0.2653","-0.0781","1.7888"
"Laurent Ciman","MTL","0.2271","-0.0667","1.358","0.0599","-0.0561","0.255","1.7772"
"Mauro Díaz","FCD","0.4587","0.0769","0.3956","1.6842","-0.9139","0.0608","1.7623"
"Sacha Kljestan","NYRB","1.1363","0.1565","0.3217","0.1475","0.1159","-0.1498","1.7281"
"DaMarcus Beasley","HOU","0.7195","0.7097","0.279","-0.045","0.0733","-0.0365","1.7"
"Sal Zizzo","NYRB","0.5653","0.4667","0.3321","0.2038","0.0776","0.0288","1.6743"
"Diego Chara","POR","-0.4037","-0.0411","0.9222","0.8896","0.0316","0.2742","1.6728"
"Tony Tchani","CLB","-0.1975","-0.2562","0.8826","0.3911","0.4359","0.2912","1.5471"
"Justin Meram","CLB","0.4701","-0.0336","-0.0146","0.8495","0.3027","-0.0471","1.527"
"Benoit Cheyrou","TOR","0.3103","-0.019","0.2964","1.2799","-0.1634","-0.2015","1.5027"
"Marvell Wynne","SJE","-0.0011","0.1172","0.9098","0.9738","-0.5355","0.0251","1.4893"
"Quincy Amarikwa","SJE","0.9718","0.5754","-0.1019","-0.7752","1.1285","-0.348","1.4506"
"Damien Perrinelle","NYRB","0.2568","-0.2675","0.2315","0.8134","0.2228","0.1537","1.4107"
"Wil Trapp","CLB","0.3644","0.033","0.3084","1.0267","-0.3028","-0.0556","1.3741"
"Andrew Farrell","NER","0.4382","0.0523","1.145","0.3247","-0.6459","-0.0096","1.3047"
"Gonzalo Verón","NYRB","0.9583","0.0007","0.1048","-0.1534","0.3408","0.0499","1.3011"
"Diego Valeri","POR","0.4229","0.1244","-0.3062","0.3408","0.5697","0.1368","1.2884"
"Cristián Maidana","PHI","0.7615","-0.2112","-0.1324","1.3347","-0.247","-0.2241","1.2815"
"Robbie Rogers","LAG","0.7516","0.0641","0.0922","0.603","-0.2162","-0.0305","1.2642"
"Osvaldo Alonso","SEA","0.3868","-0.2029","1.2611","0.6235","-0.5996","-0.2111","1.2578"
"Jordan Harvey","VAN","-0.3321","0.3663","0.2794","0.9734","-0.0972","0.036","1.2258"
"Ignacio Piatti","MTL","0.7868","0.3914","0.1774","-0.293","-0.1294","0.2874","1.2206"
"Michael Bradley","TOR","0.3233","-0.365","0.4719","0.254","0.3388","0.1627","1.1857"
"Mix Diskerud","NYC","0.3701","-0.1714","0.6836","0.0876","-0.1792","0.3733","1.164"
"Kelyn Rowe","NER","-0.0474","0.0778","1.114","-0.8256","0.5811","0.2641","1.164"
"Ethan Finlay","CLB","0.4669","0.0875","-0.4186","-0.9567","1.7994","0.1843","1.1628"
"Chris Korb","DCU","-0.0475","0.314","0.7062","0.4241","-0.2748","0.0311","1.1531"
"Matías Pérez García","SJE","0.4467","0.1776","0.0648","0.9683","-0.5044","-0.0077","1.1453"
"Jackson","TOR","0.5919","0.0845","0.4912","0.1589","-0.0852","-0.1029","1.1384"
"Lucas Melano","POR","0.4503","0.4126","-0.0677","-0.1971","0.4042","0.1359","1.1382"
"Matt Miazga","NYRB","-0.1285","0.1148","0.5006","0.4604","0.1168","0.0712","1.1353"
"Fabián Espíndola","DCU","1.2078","-0.1345","0.233","1.0881","-1.2742","0.012","1.1322"
"Andrea Pirlo","NYC","0.0356","0.3036","-0.13","1.1099","-0.1841","-0.0066","1.1284"
"Michael Barrios","FCD","0.2836","0.2319","0.1026","0.0046","0.417","0.0691","1.1088"
"Hassoun Camara","MTL","0.0775","-0.0063","0.9715","0.0077","0.0038","0.0539","1.1081"
"Sebastien Le Toux","PHI","-0.2372","0.0543","0.068","0.2779","0.4008","0.4457","1.0095"
"Chris Wondolowski","SJE","-1.1993","0.1433","0.8386","-1.2291","2.1751","0.274","1.0026"
"Cristian Higuita","ORL","-0.1269","-0.5294","1.8736","0.1947","-0.3183","-0.1428","0.9509"
"Sean St Ledger","ORL","0.0288","0.1804","0.3011","0.1047","0.2623","0.0731","0.9504"
"Aurélien Collin","ORL","-0.0595","-0.1486","1.0497","-0.3139","0.3886","0.0307","0.947"
"Robbie Keane","LAG","1.1517","-0.0931","-0.1902","0.2427","-0.8902","0.709","0.9299"
"Clint Dempsey","SEA","0.9689","0.1867","-0.0004","0.0807","-0.7111","0.3997","0.9245"
"Kemar Lawrence","NYRB","-0.0784","0.146","0.387","-0.1462","0.4831","0.1247","0.9162"
"Harrison Afful","CLB","-0.02","0.0961","0.4008","0.3863","0.0552","-0.0459","0.8725"
"Je-Vaughn Watson","FCD","0.1796","0.0475","1.0928","-0.3653","-0.0763","-0.0133","0.865"
"Shay Facey","NYC","0.0353","-0.0052","1.662","-0.3355","-0.4665","-0.0293","0.8608"
"Juan Ramírez","COL","1.4315","0.2748","0.238","-0.5592","-0.4379","-0.0955","0.8517"
"Justin Mapp","MTL","0.3809","-0.0296","0.0172","0.1915","0.0246","0.236","0.8206"
"Nick Hagglund","TOR","0.0158","0.0542","0.3447","0.3303","0.0073","0.0645","0.8168"
"Cristian Techera","VAN","0.1635","0.3052","0.3164","0.3975","-0.2238","-0.1476","0.8112"
"Emanuel Pogatetz","CLB","0.276","-0.0896","0.4229","0.296","-0.1839","0.0469","0.7683"
"Justin Morrow","TOR","0.1333","0.2414","0.6285","-0.0831","-0.0873","-0.073","0.7598"
"Maurice Edu","PHI","0.3149","-0.2135","0.6787","-0.6126","0.2902","0.2995","0.7572"
"Clarence Goodson","SJE","-0.1995","0.4318","0.3035","-0.4844","0.8342","-0.1313","0.7543"
"Juninho Pereira","LAG","0.5106","-0.202","1.4732","0.2254","-0.7941","-0.4804","0.7327"
"Conor Casey","PHI","0.1872","-0.0397","0.0359","-0.1053","0.6558","-0.007","0.7269"
"Joevin Jones","CHI","1.0477","0.0544","-0.1416","0.4315","-0.4406","-0.2285","0.7229"
"Juan Manuel Martínez","RSL","0.194","0.5747","0.0419","-0.0273","0.0256","-0.0953","0.7136"
"Jozy Altidore","TOR","-0.2285","0.3612","-0.2114","-0.0661","0.8859","-0.0356","0.7055"
"C.J. Sapong","PHI","-0.6645","-0.2149","0.0648","-0.5899","2.0468","0.0585","0.7008"
"Steven Gerrard","LAG","0.0938","0.2332","0.0521","-0.0003","0.0675","0.2489","0.6952"
"Raymon Gaddis","PHI","0.0518","-0.165","0.485","0.8867","-0.6002","0.0338","0.6921"
"Marcelo Sarvas","COL","-0.2902","0.2798","0.679","-0.4598","0.085","0.3706","0.6644"
"Benny Feilhaber","SKC","0.0477","0.1517","-0.3767","1.2074","-0.1731","-0.2065","0.6505"
"Fabinho","PHI","0.3076","-0.5606","0.3832","0.8532","-0.2938","-0.041","0.6486"
"RJ Allen","NYC","0.1368","-0.2264","0.6074","0.1381","-0.0767","0.0571","0.6363"
"Sheanon Williams","PHI","0.0286","-0.0005","0.1767","0.6823","-0.2226","-0.0349","0.6296"
"Jermaine Jones","NER","0.2638","0.0758","0.172","0.3167","-0.1426","-0.0721","0.6136"
"Jeff Larentowicz","CHI","-0.306","0.0082","1.2977","-0.4209","0.2338","-0.2004","0.6124"
"Hernán Grana","CLB","0.2703","0.0422","0.3292","-0.2106","0.2285","-0.0637","0.5959"
"Patrick Nyarko","CHI","0.402","-0.1281","0.4523","-0.0819","0.0834","-0.1342","0.5935"
"Kevin Molino","ORL","0.3305","0.095","0.1544","-0.4137","0.3357","0.0863","0.5882"
"Vicente Sánchez","COL","1.8124","0.0656","-0.067","-0.6628","-0.3791","-0.2023","0.5668"
