"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Zlatan Ibrahimovic","LAG","2019","F","7200000","7200000","2019-06-01"
"Zlatan Ibrahimovic","LAG","2019","F","7200000","7200000","2019-09-13"
"Kaká","ORL","2016","M","6660000","7167500","2016-09-15"
"Kaká","ORL","2017","M","6660000","7167500","2017-04-15"
"Kaká","ORL","2017","M","6660000","7167500","2017-09-15"
"Kaká","ORL","2014","M","6660000","7167500","2014-09-15"
"Kaká","ORL","2015","M","6660000","7167500","2015-07-15"
"Kaká","ORL","2015","M","6660000","7167500","2015-09-15"
"Kaká","ORL","2016","M","6660000","7167500","2016-05-15"
"Sebastian Giovinco","TOR","2016","F","5600000","7115555.67","2016-09-15"
"Sebastian Giovinco","TOR","2017","F","5600000","7115555.67","2017-04-15"
"Sebastian Giovinco","TOR","2017","F","5600000","7115555.67","2017-09-15"
"Sebastian Giovinco","TOR","2018","F","5600000","7115555.67","2018-05-01"
"Sebastian Giovinco","TOR","2018","F","5600000","7115555.67","2018-09-15"
"Sebastian Giovinco","TOR","2015","M","5600000","7115555.67","2015-07-15"
"Sebastian Giovinco","TOR","2015","M","5600000","7115555.67","2015-09-15"
"Sebastian Giovinco","TOR","2016","F","5600000","7115555.67","2016-05-15"
"Clint Dempsey","SEA","2014","F","4913004","6695189","2014-04-01"
"Clint Dempsey","SEA","2014","F","4913004","6695188.75","2014-09-15"
"Michael Bradley","TOR","2016","M","6000000","6500000","2016-09-15"
"Michael Bradley","TOR","2017","M","6000000","6500000","2017-04-15"
"Michael Bradley","TOR","2017","M","6000000","6500000","2017-09-15"
"Michael Bradley","TOR","2018","M","6000000","6500000","2018-05-01"
"Michael Bradley","TOR","2018","M","6000000","6500000","2018-09-15"
"Michael Bradley","TOR","2014","M","6000000","6500000","2014-04-01"
"Michael Bradley","TOR","2014","M","6000000","6500000","2014-09-15"
"Michael Bradley","TOR","2015","M","6000000","6500000","2015-07-15"
"Michael Bradley","TOR","2015","M","6000000","6500000","2015-09-15"
"Michael Bradley","TOR","2016","M","6000000","6500000","2016-05-15"
"Michael Bradley","TOR","2019","M","6000000","6500000","2019-09-13"
"Michael Bradley","TOR","2019","M","6000000","6428571","2019-06-01"
"Steven Gerrard","LAG","2015","M","6200004","6332504","2015-07-15"
"Steven Gerrard","LAG","2015","M","6200004","6332504","2015-09-15"
"Jozy Altidore","TOR","2019","F","4891250.04","6332250.04","2019-09-13"
"Jozy Altidore","TOR","2019","F","4891250","6332250","2019-06-01"
"Carlos Vela","LAFC","2019","M","4500000","6300000","2019-06-01"
"Carlos Vela","LAFC","2019","M","4500000","6300000","2019-09-13"
"Carlos Vela","LAFC","2018","F","4500000","6292500","2018-05-01"
"Carlos Vela","LAFC","2018","F","4500000","6292500","2018-09-15"
"Jermain Defoe","TOR","2014","F","6000000","6180000","2014-04-01"
"Jermain Defoe","TOR","2014","F","6000000","6180000","2014-09-15"
"Steven Gerrard","LAG","2016","M","6000000","6132500","2016-09-15"
"Steven Gerrard","LAG","2016","M","6000000","6132500","2016-05-15"
"Bastian Schweinsteiger","CHI","2018","M","6100000.08","6100000.08","2018-05-01"
"Bastian Schweinsteiger","CHI","2018","M","6100000.08","6100000.08","2018-09-15"
"Frank Lampard","NYC","2016","M","6000000","6000000","2016-09-15"
"Giovani dos Santos","LAG","2018","F","4250000","6000000","2018-05-01"
"Giovani dos Santos","LAG","2018","F","4250000","6000000","2018-09-15"
"Frank Lampard","NYC","2015","M","6000000","6000000","2015-07-15"
"Frank Lampard","NYC","2015","M","6000000","6000000","2015-09-15"
"Frank Lampard","NYC","2016","M","6000000","6000000","2016-05-15"
"Andrea Pirlo","NYC","2016","M","5600000","5915690","2016-09-15"
"Andrea Pirlo","NYC","2017","M","5600000","5915690","2017-04-15"
"Andrea Pirlo","NYC","2017","M","5600000","5915690","2017-09-15"
"Andrea Pirlo","NYC","2016","M","5600000","5915690","2016-05-15"
"Giovani dos Santos","LAG","2015","M","4000008","5750008","2015-09-15"
"David Villa","NYC","2016","F","5610000","5610000","2016-09-15"
"David Villa","NYC","2017","F","5610000","5610000","2017-04-15"
"David Villa","NYC","2017","F","5610000","5610000","2017-09-15"
"David Villa","NYC","2018","F","5610000","5610000","2018-05-01"
"David Villa","NYC","2018","F","5610000","5610000","2018-09-15"
"David Villa","NYC","2015","F","5610000","5610000","2015-07-15"
"David Villa","NYC","2015","F","5610000","5610000","2015-09-15"
"David Villa","NYC","2016","F","5610000","5610000","2016-05-15"
"Bastian Schweinsteiger","CHI","2019","M","5600000.04","5600000.04","2019-09-13"
"Bastian Schweinsteiger","CHI","2019","M","5600000","5600000","2019-06-01"
"Giovani dos Santos","LAG","2017","F","3750000","5500000","2017-04-15"
"Giovani dos Santos","LAG","2017","F","3750000","5500000","2017-09-15"
"Bastian Schweinsteiger","CHI","2017","M","5400000","5400000","2017-04-15"
"Bastian Schweinsteiger","CHI","2017","M","5400000","5400000","2017-09-15"
"Clint Dempsey","SEA","2013","F","4913004","5038566.5","2013-08-01"
"Clint Dempsey","SEA","2013","F","4913004","5038566.5","2013-09-15"
"Jozy Altidore","TOR","2018","F","5000000","5000000","2018-05-01"
"Jozy Altidore","TOR","2018","F","5000000","5000000","2018-09-15"
"Jozy Altidore","TOR","2017","F","4875000","4875000","2017-04-15"
"Jozy Altidore","TOR","2017","F","4875000","4875000","2017-09-15"
"Jozy Altidore","TOR","2016","F","4825000","4825000","2016-09-15"
"Jozy Altidore","TOR","2016","F","4825000","4825000","2016-05-15"
"Jozy Altidore","TOR","2015","F","4750000","4750000","2015-07-15"
"Jozy Altidore","TOR","2015","F","4750000","4750000","2015-09-15"
"Ignacio Piatti","MTL","2018","M","500000.04","4713333.37","2018-05-01"
"Ignacio Piatti","MTL","2018","M","500000.04","4713333.37","2018-09-15"
"Clint Dempsey","SEA","2016","F","3913008","4605941.5","2016-09-15"
"Clint Dempsey","SEA","2015","F","3913008","4605941.5","2015-07-15"
"Clint Dempsey","SEA","2015","F","3913008","4605941.5","2015-09-15"
"Clint Dempsey","SEA","2016","F","3913008","4605941.5","2016-05-15"
"Landon Donovan","LAG","2014","F","4250000","4583333.33","2014-04-01"
"Landon Donovan","LAG","2014","F","4250000","4583333.33","2014-09-15"
"Robbie Keane","LAG","2014","F","4500000","4500000","2014-04-01"
"Robbie Keane","LAG","2014","F","4500000","4500000","2014-09-15"
"Robbie Keane","LAG","2015","F","4500000","4500000","2015-07-15"
"Robbie Keane","LAG","2015","F","4500000","4500000","2015-09-15"
"Ignacio Piatti","MTL","2019","M","530000.04","4443333.37","2019-09-13"
"Ignacio Piatti","MTL","2019","M","530000","4443333","2019-06-01"
"Thierry Henry","NYRB","2013","F","3750000","4350000","2013-08-01"
"Thierry Henry","NYRB","2013","F","3750000","4350000","2013-09-15"
"Thierry Henry","NYRB","2014","F","3750000","4350000","2014-04-01"
"Thierry Henry","NYRB","2014","F","3750000","4350000","2014-09-15"
"Thierry Henry","NYRB","2013","F","3750000","4350000","2013-05-01"
"Robbie Keane","LAG","2013","F","4000000","4333333.33","2013-08-01"
"Robbie Keane","LAG","2013","F","4000000","4333333.33","2013-09-15"
"Robbie Keane","LAG","2013","F","4000000","4333333.33","2013-05-01"
"Giovani dos Santos","LAG","2016","F","2500000","4250000","2016-09-15"
"Giovani dos Santos","LAG","2016","F","2500000","4250000","2016-05-15"
"Giovani dos Santos","LAG","2015","M","4000008","4100008","2015-07-15"
"Clint Dempsey","SEA","2017","F","3200000","3892933.5","2017-04-15"
"Clint Dempsey","SEA","2017","F","3200000","3892933.5","2017-09-15"
"Alejandro Pozuelo","TOR","2019","M","3800000.04","3800000.04","2019-09-13"
"Alejandro Pozuelo","TOR","2019","M","3800000","3800000","2019-06-01"
"Tim Cahill","NYRB","2013","M","3500000","3625000","2013-08-01"
"Tim Cahill","NYRB","2013","M","3500000","3625000","2013-09-15"
"Tim Cahill","NYRB","2014","M","3500000","3625000","2014-04-01"
"Tim Cahill","NYRB","2014","M","3500000","3625000","2014-09-15"
"Tim Cahill","NYRB","2013","M","3500000","3625000","2013-05-01"
"Wayne Rooney","DCU","2019","F","3500000.04","3507500.04","2019-09-13"
"Wayne Rooney","DCU","2019","F","3500000","3507500","2019-06-01"
"Robbie Keane","LAG","2016","F","3500000","3500000","2016-09-15"
"Robbie Keane","LAG","2016","F","3500000","3500000","2016-05-15"
"Jermaine Jones","NER","2014","M","3000000","3252500","2014-09-15"
"Josef Martínez","ATL","2019","F","3000000","3058333.33","2019-09-13"
"Josef Martínez","ATL","2019","F","3000000","3058333","2019-06-01"
"Jermaine Jones","NER","2015","M","2800000","3052500","2015-07-15"
"Jermaine Jones","NER","2015","M","2800000","3052500","2015-09-15"
"Obafemi Martins","SEA","2015","F","2400000","3000000","2015-07-15"
"Obafemi Martins","SEA","2015","F","2400000","3000000","2015-09-15"
"Sebastián Blanco","POR","2019","M","2740008","2853341.33","2019-09-13"
"Wayne Rooney","DCU","2018","F","2769230.88","2776730.88","2018-09-15"
"Diego Valeri","POR","2017","M","2227500","2607500","2017-04-15"
"Diego Valeri","POR","2017","M","2227500","2607500","2017-09-15"
"Marco Di Vaio","MTL","2014","F","1500000","2600000","2014-04-01"
"Marco Di Vaio","MTL","2014","F","1500000","2600000","2014-09-15"
"Tim Howard","COL","2016","GK","2100000","2575000","2016-09-15"
"Tim Howard","COL","2016","GK","2100000","2575000","2016-05-15"
"Nicolás Lodeiro","SEA","2019","M","2000000.04","2502500.04","2019-09-13"
"Nicolás Lodeiro","SEA","2019","M","2000000","2502500","2019-06-01"
"Landon Donovan","LAG","2013","F","2500000","2500000","2013-08-01"
"Landon Donovan","LAG","2013","F","2500000","2500000","2013-09-15"
"Landon Donovan","LAG","2013","F","2500000","2500000","2013-05-01"
"Nani","ORL","2019","M","2333333","2486250","2019-06-01"
"Nani","ORL","2019","M","2333333.04","2486249.7","2019-09-13"
"Tim Howard","COL","2019","GK","2000000.04","2475000.04","2019-09-13"
"Tim Howard","COL","2017","GK","2000000","2475000","2017-04-15"
"Tim Howard","COL","2017","GK","2000000","2475000","2017-09-15"
"Tim Howard","COL","2018","GK","2000000","2475000","2018-05-01"
"Tim Howard","COL","2018","GK","2000000","2475000","2018-09-15"
"Tim Howard","COL","2019","GK","2000000","2475000","2019-06-01"
"Diego Valeri","POR","2019","M","2320000","2420000","2019-06-01"
"Diego Valeri","POR","2019","M","2319999.96","2419999.96","2019-09-13"
"Diego Valeri","POR","2018","M","2320000","2380000","2018-05-01"
"Diego Valeri","POR","2018","M","2320000","2380000","2018-09-15"
"Carles Gil","NER","2019","M","2100000","2337500","2019-06-01"
"Carles Gil","NER","2019","M","2100000","2337500","2019-09-13"
"Andrea Pirlo","NYC","2015","M","2000004","2315694","2015-07-15"
"Andrea Pirlo","NYC","2015","M","2000004","2315694","2015-09-15"
"Gyasi Zardes","CLB","2019","F","2261667","2311667","2019-06-01"
"Nicolás Lodeiro","SEA","2018","M","1800000","2302500","2018-05-01"
"Nicolás Lodeiro","SEA","2018","M","1800000","2302500","2018-09-15"
"Miguel Almirón","ATL","2017","M","1912500","2297000","2017-04-15"
"Miguel Almirón","ATL","2018","M","1912500","2297000","2018-05-01"
"Miguel Almirón","ATL","2018","M","1912500","2297000","2018-09-15"
"Miguel Almirón","ATL","2017","M","1912500","2297000","2017-09-15"
"Marco Fabián","PHI","2019","M","2000727.24","2274087.24","2019-09-13"
"Marco Fabián","PHI","2019","M","2000727","2274087","2019-06-01"
"Nicolás Gaitán","CHI","2019","M","1400004","2197504","2019-06-01"
"Nicolás Gaitán","CHI","2019","M","1400004","2197504","2019-09-13"
"Didier Drogba","MTL","2016","F","1666667","2191667","2016-09-15"
"Didier Drogba","MTL","2015","F","1666668","2166668","2015-09-15"
"Didier Drogba","MTL","2016","F","1666667","2166667","2016-05-15"
"Gustavo Bou","NER","2019","F","2100000","2100000","2019-09-13"
"Yura Movsisyan","CHI","2018","F","1850000","2073750","2018-09-15"
"Albert Rusnák","RSL","2019","M","1800000","2001667","2019-06-01"
"Albert Rusnák","RSL","2019","M","1800000","2001666.67","2019-09-13"
"Raúl Ruidíaz","SEA","2018","F","2000004","2000004","2018-09-15"
"Raúl Ruidíaz","SEA","2019","F","2000004","2000004","2019-09-13"
"Maximiliano Moralez","NYC","2017","M","2000000.04","2000000.04","2017-04-15"
"Maximiliano Moralez","NYC","2017","M","2000000.04","2000000.04","2017-09-15"
"Maximiliano Moralez","NYC","2018","M","2000000.04","2000000.04","2018-05-01"
"Jonathan dos Santos","LAG","2018","M","2000000.04","2000000.04","2018-05-01"
"Maximiliano Moralez","NYC","2018","M","2000000.04","2000000.04","2018-09-15"
"Jonathan dos Santos","LAG","2018","M","2000000.04","2000000.04","2018-09-15"
"Jonathan dos Santos","LAG","2017","M","2000000.04","2000000.04","2017-09-15"
"Maximiliano Moralez","NYC","2019","M","2000000.04","2000000.04","2019-09-13"
"Jonathan dos Santos","LAG","2019","M","2000000.04","2000000.04","2019-09-13"
"Maximiliano Moralez","NYC","2019","M","2000000","2000000","2019-06-01"
"Jonathan dos Santos","LAG","2019","M","2000000","2000000","2019-06-01"
"Romain Alessandrini","LAG","2017","M","1669400.64","1999400.64","2017-04-15"
"Romain Alessandrini","LAG","2017","M","1669400.64","1999400.64","2017-09-15"
"Yura Movsisyan","RSL","2017","F","1750000","1973750","2017-04-15"
"Yura Movsisyan","RSL","2017","F","1750000","1973750","2017-09-15"
"Fanendo Adi","CIN","2019","F","1360008","1965008","2019-06-01"
"Fanendo Adi","CIN","2019","F","1360008","1965008","2019-09-13"
"Romain Alessandrini","LAG","2019","M","1610004","1940004","2019-09-13"
"Marco Di Vaio","MTL","2013","F","1000008","1937508","2013-08-01"
"Marco Di Vaio","MTL","2013","F","1000008","1937508","2013-09-15"
"Marco Di Vaio","MTL","2013","F","1000008","1937508","2013-05-01"
"Fanendo Adi","POR","2018","F","1275000","1933333.33","2018-05-01"
"Fanendo Adi","CIN","2018","F","1275000","1933333.33","2018-09-15"
"Nemanja Nikolic","CHI","2019","F","1700000.04","1913333.37","2019-09-13"
"Nemanja Nikolic","CHI","2019","F","1700000","1913333","2019-06-01"
"Nemanja Nikolic","CHI","2017","F","1700000.04","1906333.37","2017-04-15"
"Nemanja Nikolic","CHI","2017","F","1700000.04","1906333.37","2017-09-15"
"Nemanja Nikolic","CHI","2018","F","1700000.04","1906333.37","2018-05-01"
"Nemanja Nikolic","CHI","2018","F","1700000.04","1906333.37","2018-09-15"
"Romain Alessandrini","LAG","2018","M","1539996","1869996","2018-05-01"
"Romain Alessandrini","LAG","2018","M","1539996","1869996","2018-09-15"
"Romain Alessandrini","LAG","2019","M","1539996","1869996","2019-06-01"
"Fredy Montero","VAN","2017","F","1400000.04","1800000.04","2017-04-15"
"Fredy Montero","VAN","2017","F","1400000.04","1800000.04","2017-09-15"
"Raúl Ruidíaz","SEA","2019","F","1800000","1800000","2019-06-01"
"Obafemi Martins","SEA","2014","F","1620000","1753333.33","2014-04-01"
"Obafemi Martins","SEA","2014","F","1620000","1753333.33","2014-09-15"
"Darwin Quintero","MIN","2019","M","1750000.08","1750000.08","2019-09-13"
"Darwin Quintero","MIN","2019","M","1750000","1750000","2019-06-01"
"Nicolás Lodeiro","SEA","2017","M","1371428.57","1743428.57","2017-04-15"
"Nicolás Lodeiro","SEA","2017","M","1371428.57","1743428.57","2017-09-15"
"Nicolás Lodeiro","SEA","2016","M","1371428.52","1743428.52","2016-09-15"
"Fanendo Adi","POR","2017","F","1190004","1736254","2017-04-15"
"Fanendo Adi","POR","2017","F","1190004","1736254","2017-09-15"
"Obafemi Martins","SEA","2013","F","1600000","1725000","2013-08-01"
"Obafemi Martins","SEA","2013","F","1600000","1725000","2013-09-15"
"Obafemi Martins","SEA","2013","F","1600000","1725000","2013-05-01"
"Borek Dockal","PHI","2018","M","1714285.68","1714285.68","2018-05-01"
"Borek Dockal","PHI","2018","M","1714285.68","1714285.68","2018-09-15"
"Johnny Russell","SKC","2019","M","1700000","1700000","2019-06-01"
"Shkëlzen Gashi","COL","2016","F","1575000","1668750","2016-09-15"
"Shkëlzen Gashi","COL","2017","F","1575000","1668750","2017-04-15"
"Shkëlzen Gashi","COL","2018","F","1575000","1668750","2018-05-01"
"Shkëlzen Gashi","COL","2018","F","1575000","1668750","2018-09-15"
"Shkëlzen Gashi","COL","2016","M","1575000","1668750","2016-05-15"
"Shkëlzen Gashi","COL","2017","F","1575000","1668750","2017-09-15"
"Danny Koevermans","TOR","2013","F","1250000","1663323.33","2013-08-01"
"Danny Koevermans","TOR","2013","F","1250000","1663323.33","2013-09-15"
"Danny Koevermans","TOR","2013","F","1250000","1663323.33","2013-05-01"
"Clint Dempsey","SEA","2018","F","1100000.04","1650000.04","2018-05-01"
"Darwin Quintero","MIN","2018","F","1650000","1650000","2018-05-01"
"Darwin Quintero","MIN","2018","F","1650000","1650000","2018-09-15"
"Felipe Gutiérrez","SKC","2019","M","1600000","1650000","2019-06-01"
"Felipe Gutiérrez","SKC","2018","M","1599999.96","1649999.96","2018-05-01"
"Felipe Gutiérrez","SKC","2018","M","1599999.96","1649999.96","2018-09-15"
"Felipe Gutiérrez","SKC","2019","M","1599999.96","1649999.96","2019-09-13"
"Bradley Wright-Phillips","NYRB","2017","F","1500000","1635000","2017-04-15"
"Bradley Wright-Phillips","NYRB","2017","F","1500000","1635000","2017-09-15"
"Bradley Wright-Phillips","NYRB","2018","F","1500000","1635000","2018-05-01"
"Bradley Wright-Phillips","NYRB","2018","F","1500000","1635000","2018-09-15"
"Valeri Qazaishvili","SJE","2019","M","1475004","1604042.36","2019-09-13"
"Valeri Qazaishvili","SJE","2019","M","1475004","1604042","2019-06-01"
