"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Dominic Oduro","CLB","2013","3013","10","4","2","1.7211","-0.7646","0.2789","3","1","0.6332","0.3668","2.3543","0.4844","0.7639"
"Federico Higuaín","CLB","2013","2782","3","3","1","1.6851","0.1011","-0.6852","3","1","0.3622","0.6378","2.0474","0.6039","1.0159"
"Robbie Keane","LAG","2013","2113","1","1","0","0.3723","0.1757","-0.3723","5","2","1.3605","0.6395","1.7328","0","0.0008"
"Darren Mattocks","VAN","2013","1029","6","2","0","1.2534","-0.2386","-1.2534","0","0","0","0","1.2534","0","0.413"
"Landon Donovan","LAG","2013","2008","3","3","2","1.1259","0.2831","0.8741","0","0","0","0","1.1259","0.3533","0.3048"
"Sebastien Le Toux","PHI","2013","2403","3","2","0","0.596","-0.2126","-0.596","2","0","0.4912","-0.4912","1.0872","0","0.1297"
"Jairo Arrieta","CLB","2013","1993","2","2","2","0.3841","0.6242","1.6159","4","0","0.5296","-0.5296","0.9138","1.2601","0.2068"
"Nigel Reo-Coker","VAN","2013","3034","1","1","1","0.1003","-0.0377","0.8997","3","1","0.8009","0.1991","0.9011","0.0553","0.0055"
"Fabian Castillo","FCD","2013","2328","3","2","1","0.89","0.3664","0.11","0","0","0","0","0.89","0.6834","0.37"
"Camilo Sanvezzo","VAN","2013","2580","2","2","2","0.6148","0.5422","1.3852","1","0","0.2726","-0.2726","0.8874","0.9693","0.4564"
"Lloyd Sam","NYRB","2013","911","1","1","1","0.4856","0.3295","0.5144","2","0","0.3915","-0.3915","0.8771","0.3759","0.1825"
"Diego Valeri","POR","2013","2417","3","0","0","0.7643","-0.7643","-0.7643","0","0","0","0","0.7643","0","0.5636"
"Wil Trapp","CLB","2013","1505","0","0","0","0","0","0","1","0","0.7073","-0.7073","0.7073","0","0"
"Jonny Steele","NYRB","2013","2829","1","1","0","0.1601","0.0678","-0.1601","2","1","0.5402","0.4598","0.7003","0","0.0954"
"Bernardo Añor","CLB","2013","1775","3","2","1","0.5516","-0.1545","0.4484","1","0","0.1473","-0.1473","0.6989","0.0211","0.2015"
