"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Jon Busch","SJE","2014","3310","1161","0.6382","0.5632","87.104","7.5025","50.0111","44.5519","0.2049"
"Jon Busch","SJE","2013","3224","1051","0.5766","0.505","75.2055","7.1556","54.2868","49.3818","0.219"
"Clint Irwin","COL","2013","3110","873","0.5945","0.5134","70.7971","8.1096","54.5022","49.7149","0.1767"
"David Bingham","LAG","2019","3259","1020","0.6784","0.614","65.7547","6.4465","46.2349","39.6289","0.205"
"Reto Ziegler","FCD","2019","3208","1148","0.8824","0.8357","53.5918","4.6683","23.6858","8.8981","0.1774"
"Nick Rimando","RSL","2019","2854","999","0.7237","0.6702","53.4219","5.3475","40.1866","33.0631","0.1986"
"Andre Blake","PHI","2018","3218","990","0.6919","0.6414","49.9682","5.0473","43.0049","36.1199","0.2044"
"Chad Marshall","SEA","2016","2818","735","0.8667","0.8062","44.4114","6.0424","23.9944","11.1555","0.1684"
"Frédéric Brillant","NYC","2016","3015","1042","0.858","0.816","43.7744","4.201","24.024","9.826","0.1865"
"Michael Parkhurst","CLB","2015","3118","860","0.8686","0.8182","43.3311","5.0385","25.5539","10.3077","0.1682"
"Adam Larsen Kwarasey","POR","2015","3200","934","0.6253","0.5841","38.4477","4.1165","51.2309","45.0602","0.1897"
"Matt Besler","SKC","2018","3020","833","0.88","0.8346","37.7377","4.5303","23.0218","9.5631","0.1897"
"Nat Borchers","POR","2015","3002","585","0.8786","0.8153","37.0544","6.3341","25.6274","9.5035","0.153"
"Bastian Schweinsteiger","CHI","2019","2927","670","0.8866","0.8313","37.024","5.526","24.678","9.539","0.1635"
"Nick Rimando","RSL","2018","3204","1196","0.7266","0.6958","36.7638","3.0739","38.7742","30.9867","0.1936"
"Alexander Callens","NYC","2018","2981","1053","0.8547","0.8202","36.2828","3.4457","22.9487","8.1907","0.1793"
"Liam Ridgewell","POR","2015","3085","713","0.7798","0.7301","35.4079","4.966","30.3438","18.0797","0.1784"
"Maxime Chanot","NYC","2019","3111","1030","0.8728","0.8393","34.5417","3.3536","23.2203","7.4609","0.1791"
"Matt Hedges","FCD","2019","3206","1069","0.8737","0.842","33.9247","3.1735","23.3888","8.9635","0.1731"
"Chad Marshall","SEA","2017","2550","577","0.8977","0.8404","33.079","5.7329","23.3042","7.4144","0.1502"
"Reto Ziegler","FCD","2018","2800","743","0.8358","0.792","32.5717","4.3838","26.7228","11.033","0.1794"
"Michael Parkhurst","CLB","2016","3258","912","0.8761","0.8405","32.4558","3.5587","23.5113","7.2377","0.1632"
"Andre Blake","PHI","2017","2523","776","0.6031","0.5626","31.4209","4.0491","50.3424","44.0409","0.2033"
"Stefan Frei","SEA","2019","3373","1189","0.762","0.7356","31.4115","2.6418","38.3764","28.8975","0.1982"
"David Bingham","LAG","2018","3327","1118","0.6002","0.5726","30.8112","2.7559","48.651","42.0896","0.2162"
"Alexander Callens","NYC","2017","3304","1135","0.8379","0.8109","30.6845","2.7035","24.1478","9.4317","0.1834"
"Matt Hedges","FCD","2018","3217","715","0.8476","0.805","30.4412","4.2575","24.3273","10.9269","0.1712"
"Matt Reis","NER","2013","1085","408","0.6863","0.6117","30.4193","7.4557","48.693","42.4034","0.2228"
"Antonio Mlinar Delamea","NER","2017","2732","488","0.873","0.8107","30.3616","6.2216","23.3838","8.6377","0.1639"
"David Mateos","ORL","2016","1912","534","0.8427","0.7868","29.8279","5.5857","27.9084","13.0409","0.1756"
"Jack Elliott","PHI","2019","3374","774","0.8062","0.7678","29.7444","3.8429","26.356","12.935","0.188"
"Steve Clark","CLB","2015","3297","1309","0.8006","0.7784","29.0673","2.2206","36.0759","26.4836","0.2121"
"Daniel Steres","LAG","2016","2885","708","0.8531","0.8123","28.9247","4.0854","24.4686","10.5452","0.1654"
"Joao Meira","CHI","2017","2608","751","0.9055","0.8673","28.6293","3.8122","22.5632","6.6862","0.1551"
"Ike Opara","SKC","2017","2935","830","0.8554","0.821","28.5914","3.4448","22.6077","7.939","0.1881"
"Jonathan Mensah","CLB","2017","2327","537","0.8659","0.8135","28.1336","5.239","22.3824","8.1622","0.1468"
"Andre Blake","PHI","2016","3114","896","0.6306","0.5998","27.5567","3.0755","46.7071","39.7996","0.2019"
"Michael Parkhurst","CLB","2014","3025","764","0.8927","0.8569","27.3238","3.5764","21.8644","8.2815","0.1601"
