"Team","Position","Season","N","TotalGuarSum of Guaranteed Compensation","AvgGuarAverage Guaranteed Compensation","MedGuarMedian Guaranteed Compensation","StdDevGuarStandard Deviation of Guaranteed Compensation"
"SEA","F","2013","10","8431570.83","843157.083","168689.665","1567535.341"
"LAG","F","2013","9","7568125","840902.7778","101000","1531404.1266"
"NYRB","F","2013","8","4940344.96","617543.12","86249.98","1508689.9151"
"NYRB","M","2013","12","4751537.04","395961.42","89587.27","1018931.4007"
"TOR","F","2013","11","2606560.83","236960.0755","65000","476982.2919"
"MTL","F","2013","5","2382841.25","476568.25","148000","817997.532"
"CHI","M","2013","12","2319170.67","193264.2225","116537.5","208004.1769"
"DCU","M","2013","15","2259258.08","150617.2053","96440.63","163291.0476"
"PHI","M","2013","17","2099770.33","123515.9018","82891.5","109221.7138"
"FCD","M","2013","12","2073747.5","172812.2917","101375","198140.9137"
"VAN","F","2013","9","2046506.34","227389.5933","84500","344149.88"
"SJE","M","2013","15","1949094.24","129939.616","91250","136818.1694"
"CHI","F","2013","11","1849558.33","168141.6664","125000","140644.8795"
"HOU","M","2013","12","1835478.83","152956.5692","133679.165","106627.8861"
"RSL","M","2013","13","1793166.66","137935.8969","81958.33","105373.0254"
"VAN","D","2013","12","1746787.04","145565.5867","116250","106788.2571"
"POR","M","2013","11","1676041.33","152367.3936","144704","112382.7761"
"MTL","M","2013","14","1569933","112138.0714","82125","82794.5136"
"MTL","D","2013","10","1547725","154772.5","139312.5","95874.9848"
"CLB","M","2013","10","1532125","153212.5","86750","173537.4004"
"TOR","D","2013","11","1524888.18","138626.1982","89999.98","130368.1707"
"NER","M","2013","10","1509378.33","150937.833","106660","126463.4926"
"CHI","D","2013","9","1454628.33","161625.37","131245","128977.9604"
"COL","M","2013","14","1450407.62","103600.5443","77000","59724.287"
"NYRB","D","2013","8","1449699.17","181212.3962","179249.98","108231.937"
"SKC","M","2013","12","1444150.71","120345.8925","78731.605","96393.101"
"SKC","F","2013","8","1414583.33","176822.9163","152416.665","119009.3573"
"TOR","M","2013","12","1310559.17","109213.2642","102698","59272.2026"
"COL","F","2013","6","1201937.5","200322.9167","183093.75","63973.3882"
"DCU","D","2013","10","1189498.16","118949.816","95500","78670.0954"
"CLB","D","2013","9","1180979.67","131219.9633","80666.67","115494.8868"
"FCD","D","2013","10","1179836.67","117983.667","77250","85608.7185"
"LAG","D","2013","9","1104258.33","122695.37","95000","92292.0943"
"LAG","M","2013","10","1094755","109475.5","64187.5","86198.4083"
"PHI","D","2013","6","1091500","181916.6667","149500","132999.7807"
"FCD","F","2013","6","1077901","179650.1667","164263","145220.0031"
"SJE","D","2013","10","1074971.54","107497.154","65040.105","99406.9061"
"CHV","D","2013","10","1040149.16","104014.916","94166.665","63933.9984"
"SEA","M","2013","11","1033458.33","93950.7573","48400","71786.7612"
"NER","F","2013","9","1006042.71","111782.5233","110709.17","58842.5763"
"HOU","F","2013","8","1001744.67","125218.0838","109703.335","60724.3895"
"CHV","M","2013","13","998945","76841.9231","54000","42174.4165"
"CHV","F","2013","11","973576.3","88506.9364","70966.67","49250.9783"
"RSL","F","2013","7","968688.76","138384.1086","60000","151435.6731"
"POR","F","2013","8","925917.6","115739.7","79990.03","73375.3866"
"NER","D","2013","9","922376.42","102486.2689","83932.29","53158.2493"
"POR","D","2013","11","911941.63","82903.7845","68999.96","55816.6784"
"COL","D","2013","9","909776.2","101086.2444","50000","95908.5173"
"SKC","D","2013","10","887916.67","88791.667","46875","76313.8396"
"SEA","D","2013","9","843750","93750","75000","56544.4723"
"RSL","D","2013","8","830319.08","103789.885","85120","71258.7938"
"VAN","M","2013","7","764204.97","109172.1386","79251.98","70499.4354"
"CLB","F","2013","8","753385","94173.125","77250","57431.2062"
"DCU","F","2013","6","740900","123483.3333","83325","99184.754"
"HOU","D","2013","6","737250","122875","133062.5","71634.2272"
"PHI","F","2013","7","651691.67","93098.81","48400","65875.8964"
"SJE","F","2013","5","543791.67","108758.334","48000","90197.2403"
"FCD","GK","2013","5","461250","92250","63500","84344.1147"
"VAN","GK","2013","4","459797.92","114949.48","117378.125","74749.4365"
"SEA","GK","2013","4","438000","109500","53250","117172.9491"
"POR","GK","2013","3","412875.75","137625.25","63263.75","140786.2285"
"RSL","GK","2013","4","387708.33","96927.0825","70875","80290.7921"
"SKC","GK","2013","3","363918.33","121306.11","76835","85610.3773"
"SJE","GK","2013","3","345308.33","115102.7767","122475","65229.8678"
"TOR","GK","2013","4","339500","84875","46500","76750"
"LAG","GK","2013","4","336187.5","84046.875","69843.75","46323.8536"
"HOU","GK","2013","3","332666.67","110888.89","87666.67","78615.8612"
"MTL","GK","2013","3","328458.33","109486.11","46500","119082.08"
"COL","GK","2013","3","318391.66","106130.5533","70333.33","94154.296"
"CHV","GK","2013","3","305666.67","101888.89","65000","80448.4556"
"NER","GK","2013","3","287295.67","95765.2233","84504","66984.5873"
"PHI","GK","2013","3","248000","82666.6667","46500","62642.5042"
"CHI","GK","2013","3","234625","78208.3333","46500","65020.7098"
"NYRB","GK","2013","4","232875","58218.75","60125","18141.9102"
"","M","2013","3","215000","71666.6667","48500","41869.838"
"DCU","GK","2013","3","182750","60916.6667","46500","24970.3991"
"CLB","GK","2013","3","175511.67","58503.89","46500","31165.7424"
"","F","2013","2","106500","53250","53250","9545.9415"
"","GK","2013","2","70250","35125","35125","0"
"","D","2013","1","46500","46500","46500",""
"LAG","F","2014","12","10015000","834583.3333","70500","1732813.4229"
"SEA","F","2014","10","9363879.14","936387.914","77500","2089937.7732"
"TOR","F","2014","9","8224525","913836.1111","128333.33","2008319.6629"
"ORL","M","2014","4","7375337.5","1843834.375","75918.75","3549124.7556"
