"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"NYRB","2013","34","323","350","38","23","15","35.668","30.6145","5.0535","9.9465","59","46.82"
"SKC","2013","34","373","211","35","21","14","27.8374","18.7462","9.0912","4.9088","58","54.634"
"POR","2013","34","359","315","39","19","20","33.4103","21.5311","11.8792","8.1208","57","51.638"
"RSL","2013","34","344","298","37","28","9","30.6749","32.9366","-2.2617","11.2617","56","46.071"
"LAG","2013","34","381","260","36","26","10","37.3375","20.9638","16.3737","-6.3737","53","62.019"
"SEA","2013","34","296","321","29","29","0","31.159","26.5728","4.5862","-4.5862","52","51.344"
"COL","2013","34","363","305","29","25","4","28.1636","26.84","1.3236","2.6765","51","48.015"
"NER","2013","34","326","324","39","27","12","32.6559","27.8262","4.8297","7.1703","51","50.937"
"SJE","2013","34","338","330","26","32","-6","31.2949","29.5797","1.7152","-7.7152","51","48.875"
"HOU","2013","34","356","336","29","31","-2","31.9075","32.4319","-0.5244","-1.4756","51","48.842"
"CHI","2013","34","391","375","33","36","-3","36.3619","32.2453","4.1166","-7.1166","49","47.151"
"MTL","2013","34","336","380","36","33","3","35.3582","31.5649","3.7933","-0.7933","49","47.145"
"VAN","2013","34","354","409","41","34","7","28.1696","31.9071","-3.7375","10.7375","48","43.705"
"PHI","2013","34","363","346","30","29","1","33.3184","32.8489","0.4694","0.5306","46","48.193"
"FCD","2013","34","327","354","24","38","-14","28.379","34.1935","-5.8145","-8.1855","44","47.953"
"CLB","2013","34","349","358","21","32","-11","27.3021","33.8528","-6.5507","-4.4493","41","47.14"
"TOR","2013","34","270","365","20","35","-15","24.0366","33.6809","-9.6443","-5.3557","29","36.754"
"CHV","2013","34","250","405","24","48","-24","20.9067","40.4132","-19.5065","-4.4935","26","27.608"
"DCU","2013","34","311","368","17","37","-20","22.3752","37.5673","-15.1921","-4.8079","16","31.241"
"SEA","2014","34","338","332","40","33","7","36.0889","26.6247","9.4642","-2.4642","64","54.581"
"LAG","2014","34","425","260","53","22","31","45.8775","21.0699","24.8076","6.1924","61","65.171"
"DCU","2014","34","266","365","33","25","8","24.1186","35.3137","-11.1952","19.1952","59","40.791"
"RSL","2014","34","322","325","27","20","7","26.0967","30.1546","-4.0579","11.0579","56","43.275"
"NER","2014","34","345","308","31","37","-6","30.4888","32.0118","-1.523","-4.477","55","46.624"
"FCD","2014","34","269","357","26","27","-1","27.3864","29.7864","-2.4","1.4","54","50.416"
"CLB","2014","34","353","314","39","28","11","31.8252","29.2853","2.5398","8.4602","52","52.172"
"VAN","2014","34","339","328","22","27","-5","26.251","24.6675","1.5836","-6.5836","50","51.104"
"NYRB","2014","34","311","341","43","33","10","37.2099","32.7125","4.4974","5.5026","50","47.906"
"SKC","2014","34","339","240","33","24","9","31.4379","23.7836","7.6542","1.3458","49","51.672"
"POR","2014","34","333","332","43","29","14","32.3815","31.5215","0.86","13.14","49","44.73"
"PHI","2014","34","329","306","29","32","-3","34.2971","32.3265","1.9706","-4.9706","42","50.258"
"TOR","2014","34","337","319","25","36","-11","31.6577","31.1346","0.5231","-11.5231","41","50.172"
"HOU","2014","34","353","350","26","37","-11","32.0623","35.7278","-3.6655","-7.3345","39","39.63"
"CHI","2014","34","310","318","25","30","-5","25.8618","31.7719","-5.9101","0.9101","36","41.7"
"CHV","2014","34","226","326","17","43","-26","20.0999","30.2712","-10.1713","-15.8287","33","36.492"
"COL","2014","34","364","278","23","42","-19","26.3713","33.4835","-7.1122","-11.8878","32","45.289"
"SJE","2014","34","285","414","22","26","-4","24.6529","35.4738","-10.8209","6.8209","30","34.864"
"MTL","2014","34","306","337","34","40","-6","34.0347","31.0792","2.9555","-8.9555","28","43.01"
"NYRB","2015","34","318","273","43","25","18","37.6836","24.6893","12.9943","5.0057","60","60.649"
"FCD","2015","34","293","274","38","21","17","29.6291","23.8694","5.7598","11.2402","60","47.088"
"CLB","2015","34","359","319","45","35","10","37.4155","34.4076","3.008","6.992","53","48.644"
"POR","2015","34","334","293","28","28","0","27.483","24.1749","3.3081","-3.3081","53","54.027"
"VAN","2015","34","304","268","26","26","0","25.0257","21.7901","3.2356","-3.2356","53","49.96"
"SKC","2015","34","295","226","29","31","-2","29.6649","28.2808","1.3841","-3.3841","51","48.65"
"MTL","2015","34","307","314","28","29","-1","28.3016","26.6948","1.6068","-2.6068","51","45.265"
"SEA","2015","34","233","344","34","23","11","30.4156","27.7068","2.7088","8.2912","51","49.385"
"LAG","2015","34","294","281","36","31","5","30.1342","27.8593","2.2749","2.7251","51","47.366"
"DCU","2015","34","237","356","24","33","-9","24.8644","33.7458","-8.8814","-0.1186","51","41.859"
"NER","2015","34","277","265","31","31","0","30.6178","28.2039","2.414","-2.414","50","46.011"
"TOR","2015","34","317","295","39","34","5","32.52","25.6504","6.8696","-1.8696","49","52.353"
"SJE","2015","34","261","260","25","24","1","24.7831","25.5584","-0.7753","1.7753","47","49.848"
"ORL","2015","34","270","304","25","33","-8","27.8342","30.0287","-2.1944","-5.8056","44","44.2"
"HOU","2015","34","266","264","28","32","-4","23.9038","27.7122","-3.8083","-0.1917","42","43.562"
"RSL","2015","34","249","299","22","30","-8","24.4758","33.5586","-9.0828","1.0828","41","36.932"
"NYC","2015","34","328","348","30","37","-7","29.0504","41.786","-12.7355","5.7355","37","36.2"
"PHI","2015","34","269","291","27","38","-11","28.1963","30.4031","-2.2068","-8.7932","37","43.689"
"COL","2015","34","291","288","18","27","-9","22.8395","28.2558","-5.4163","-3.5837","37","41.75"
"CHI","2015","34","325","265","26","34","-8","29.063","29.5259","-0.4629","-7.5371","30","45.708"
"FCD","2016","34","326","226","31","24","7","30.0105","21.4957","8.5148","-1.5148","60","54.368"
"COL","2016","34","320","301","29","22","7","24.0775","24.6856","-0.608","7.608","58","44.299"
"NYRB","2016","34","308","296","37","33","4","36.6375","29.2278","7.4098","-3.4098","57","51.823"
"NYC","2016","34","349","337","42","35","7","36.0807","38.3166","-2.2359","9.2359","54","46.682"
"TOR","2016","34","341","280","34","25","9","36.4164","27.2543","9.1621","-0.1621","53","57.408"
"LAG","2016","34","264","392","38","26","12","32.7648","33.3624","-0.5976","12.5976","52","48.634"
