"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"LAFC","2019","34","9623","0.8797","0.8603","186.7255","1.9404","4.7997","6607","0.8055","0.8232","-116.9656","-1.7703","4.9533","303.6911","-0.1536"
"SKC","2013","34","8594","0.7968","0.808","-96.028","-1.1174","6.931","6905","0.7385","0.7952","-392.1966","-5.6799","7.2589","296.1686","-0.3279"
"SKC","2017","34","9454","0.8627","0.8442","175.0581","1.8517","4.6867","6902","0.8072","0.8232","-110.6676","-1.6034","5.2304","285.7257","-0.5437"
"NYC","2018","34","10081","0.856","0.8468","91.9712","0.9123","4.1352","6632","0.7704","0.795","-163.4566","-2.4647","6.3252","255.4278","-2.1899"
"NYRB","2017","34","8189","0.7854","0.7857","-2.5063","-0.0306","7.6154","6194","0.7333","0.7749","-257.6243","-4.1593","7.5978","255.1181","0.0176"
"SKC","2018","34","9223","0.859","0.8428","149.9564","1.6259","5.2976","6659","0.8163","0.8273","-72.8116","-1.0934","5.339","222.7681","-0.0414"
"RSL","2013","34","9025","0.8293","0.8293","-0.5099","-0.0056","5.5158","6926","0.7709","0.8013","-211.1325","-3.0484","7.582","210.6226","-2.0662"
"PHI","2019","34","9032","0.8512","0.8388","112.0802","1.2409","4.8696","7487","0.8149","0.8256","-80.0257","-1.0689","5.2734","192.1058","-0.4038"
"NYRB","2018","34","7394","0.729","0.7512","-164.5848","-2.2259","9.2449","7486","0.7363","0.783","-349.6637","-4.6709","7.0422","185.0789","2.2026"
"TOR","2019","34","9192","0.8801","0.8517","261.3862","2.8436","4.5062","7828","0.8482","0.8383","78.0228","0.9967","4.9309","183.3634","-0.4247"
"CLB","2014","34","8869","0.8436","0.8342","83.286","0.9391","5.9826","7545","0.8102","0.8196","-71.0286","-0.9414","6.4991","154.3146","-0.5165"
"CLB","2018","34","8631","0.8584","0.846","107.1122","1.241","5.0105","8036","0.8374","0.8427","-42.825","-0.5329","4.4975","149.9372","0.5129"
"NYC","2017","34","8651","0.8297","0.8271","22.4969","0.26","5.064","7596","0.7978","0.8144","-125.995","-1.6587","5.6998","148.4919","-0.6358"
"NYRB","2016","34","8143","0.77","0.7774","-60.476","-0.7427","7.9713","6380","0.7412","0.7734","-205.223","-3.2167","7.6287","144.747","0.3426"
"LAFC","2018","34","9021","0.8645","0.8511","121.3302","1.345","4.8044","7604","0.8321","0.8345","-18.4482","-0.2426","4.7966","139.7784","0.0078"
"SJE","2019","34","8704","0.8697","0.8555","123.4371","1.4182","4.349","6155","0.8034","0.806","-15.6745","-0.2547","5.8569","139.1116","-1.5079"
"RSL","2016","34","8395","0.8203","0.8143","50.0361","0.596","6.3089","6957","0.7832","0.794","-74.5847","-1.0721","7.2535","124.6208","-0.9447"
"SKC","2014","34","9062","0.8206","0.8279","-66.0642","-0.729","5.7259","6458","0.7629","0.7915","-184.2112","-2.8524","7.4068","118.147","-1.6809"
"CLB","2016","34","8754","0.8418","0.8358","52.0045","0.5941","5.6293","7144","0.8074","0.8152","-56.0951","-0.7852","5.8633","108.0996","-0.2341"
"COL","2015","34","7375","0.7825","0.786","-25.8184","-0.3501","7.5569","7556","0.7834","0.8011","-133.7842","-1.7706","6.4607","107.9658","1.0962"
"NYRB","2015","34","8629","0.8076","0.8126","-42.9062","-0.4972","6.6677","6737","0.7646","0.7859","-143.5098","-2.1302","6.9221","100.6036","-0.2544"
"SEA","2017","34","9279","0.8471","0.83","158.2478","1.7054","5.0947","8115","0.835","0.8278","58.3304","0.7188","5.3746","99.9174","-0.28"
"TOR","2017","34","9340","0.8483","0.8344","129.4743","1.3862","5.2622","8439","0.8305","0.8266","33.4694","0.3966","5.2625","96.0048","-0.0003"
"SEA","2013","34","8569","0.788","0.8033","-131.4665","-1.5342","6.8895","7843","0.7816","0.8104","-225.8815","-2.88","6.8645","94.4151","0.025"
"NER","2016","34","8067","0.8106","0.805","45.0948","0.559","6.6514","7806","0.8037","0.81","-48.5212","-0.6216","5.702","93.616","0.9494"
"NYC","2019","34","8943","0.8378","0.8355","20.0153","0.2238","4.952","6871","0.7849","0.7955","-72.6608","-1.0575","6.3263","92.6762","-1.3743"
"SKC","2019","34","8471","0.8561","0.8422","118.1387","1.3946","4.6414","7428","0.8492","0.8449","32.375","0.4359","4.8608","85.7637","-0.2194"
"RSL","2017","34","7835","0.8065","0.8033","25.462","0.325","6.942","7166","0.7986","0.8062","-54.2342","-0.7568","6.1906","79.6963","0.7514"
"LAG","2014","34","9741","0.8492","0.8407","82.3225","0.8451","5.0039","7765","0.8185","0.8181","3.3169","0.0427","5.9931","79.0056","-0.9893"
"VAN","2014","34","8201","0.8222","0.821","9.6909","0.1182","6.4923","8752","0.8152","0.8231","-68.6802","-0.7847","5.4948","78.3711","0.9975"
